BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
56,46,9,10,0,6,0,71,56
49,46,12,10,0,10,0,71,56
58,42,10,10,0,7,0,75,52
51,46,11,14,0,5,0,67,60
56,47,13,6,0,5,0,74,53
59,36,9,14,0,9,0,77,50
62,41,10,8,0,6,0,78,49
53,48,10,10,0,6,0,69,58
57,36,10,14,0,10,0,77,50
54,44,8,14,0,7,0,69,58
57,43,12,8,0,7,0,76,51
58,40,11,9,0,9,0,78,49
57,45,9,10,0,6,0,72,55
59,42,11,9,0,6,0,76,51
55,47,11,9,0,5,0,71,56
52,47,6,11,0,11,0,69,58
64,37,10,10,0,6,0,80,47
50,51,9,12,0,5,0,64,63
60,39,10,10,0,8,0,78,49
50,47,11,11,0,8,0,69,58
49,46,16,10,0,6,0,71,56
55,50,8,9,0,5,0,68,59
51,58,8,5,0,5,0,64,63
53,45,11,11,0,7,0,71,56
51,49,6,12,0,9,0,66,61
56,47,6,7,0,11,0,73,54
53,50,10,7,0,7,0,70,57
49,47,8,13,0,10,0,67,60
57,41,10,9,0,10,0,77,50
57,39,12,14,0,5,0,74,53
59,42,10,8,0,8,0,77,50
54,49,9,8,0,7,0,70,57
45,49,11,12,0,10,0,66,61
51,51,8,9,0,8,0,67,60
54,44,10,11,0,8,0,72,55
51,44,12,14,0,6,0,69,58
56,47,7,7,0,10,0,73,54
59,41,9,10,0,8,0,76,51
58,41,12,10,0,6,0,76,51
57,47,10,7,0,6,0,73,54
52,41,15,10,0,9,0,76,51
52,46,12,11,0,6,0,70,57
44,53,11,11,0,8,0,63,64
51,47,12,8,0,9,0,72,55
51,50,9,10,0,7,0,67,60
58,42,10,8,0,9,0,77,50
62,43,9,7,0,6,0,77,50
59,40,11,7,0,10,0,80,47
49,52,8,11,0,7,0,64,63
57,45,9,10,0,6,0,72,55
40,59,11,9,0,8,0,59,68
50,45,13,12,0,7,0,70,57
58,41,11,10,0,7,0,76,51
57,37,12,12,0,9,0,78,49
62,37,7,13,0,8,0,77,50
64,37,11,8,0,7,0,82,45
49,49,8,14,0,7,0,64,63
61,40,10,8,0,8,0,79,48
53,44,12,11,0,7,0,72,55
55,50,9,7,0,6,0,70,57
57,49,4,8,0,9,0,70,57
55,44,6,14,0,8,0,69,58
54,48,9,11,0,5,0,68,59
46,52,8,12,0,9,0,63,64
67,34,7,12,0,7,0,81,46
57,44,9,12,0,5,0,71,56
58,47,5,10,0,7,0,70,57
46,55,9,13,0,4,0,59,68
56,39,13,11,0,8,0,77,50
50,52,10,8,0,7,0,67,60
47,54,7,12,0,7,0,61,66
51,48,10,11,0,7,0,68,59
55,46,8,12,0,6,0,69,58
59,35,13,13,0,7,0,79,48
60,40,13,8,0,6,0,79,48
42,59,11,11,0,4,0,57,70
51,50,9,11,0,6,0,66,61
54,45,12,12,0,4,0,70,57
46,52,6,17,0,6,0,58,69
51,49,9,9,0,9,0,69,58
49,53,8,10,0,7,0,64,63
